Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776286883,200,GET,GET /v1/timeline/user/:id,99.500000,0.000000,89,110,120,130,150,170,210,230,330,330,330,1559,0,87,103.09299875946127,60.711332999998646,343.2951660000008,10912.324567030148
1776286883,200,POST,POST /v1/tweets,48.900000,0.000000,76,79,83,85,95,110,140,150,150,150,150,786,0,75,80.65172667175571,57.72154099999938,266.07029099999966,214.55979643765903
1776286883,200,POST,POST /v1/tweets/:id/like,82.800000,0.000000,78,82,85,88,99,110,140,150,160,160,160,1227,0,77,80.45827601141009,59.62366600000024,159.8797920000017,0.0
1776286883,200,,Aggregated,484.000000,0.000000,83,95,110,120,140,160,180,200,250,330,330,7582,0,82,95.86473152149848,57.72154099999938,343.2951660000008,7946.282115536797
1776286884,200,GET,GET /v1/timeline/home,256.300000,0.000000,89,110,120,130,150,160,180,200,240,260,260,4263,0,85,100.78626716561128,59.63745900000106,329.3448749999999,10740.035655641566
1776286884,200,GET,GET /v1/timeline/user/:id,97.100000,0.000000,90,110,120,130,150,160,200,230,330,330,330,1663,0,87,102.74030769272406,60.711332999998646,343.2951660000008,10913.34455802766
1776286884,200,POST,POST /v1/tweets,50.900000,0.000000,76,80,83,85,99,110,140,150,150,150,150,840,0,75,80.4523133357143,57.72154099999938,266.07029099999966,214.54880952380952
1776286884,200,POST,POST /v1/tweets/:id/like,88.400000,0.000000,77,82,85,89,99,110,140,150,160,160,160,1343,0,77,80.3443842137008,59.62366600000024,159.8797920000017,0.0
1776286884,200,,Aggregated,492.700000,0.000000,83,95,110,120,140,160,170,190,240,330,330,8109,0,82,95.69508445196706,57.72154099999938,343.2951660000008,7906.509433962264
1776286885,200,GET,GET /v1/timeline/home,253.200000,0.000000,89,110,120,130,150,160,180,200,240,260,260,4507,0,85,100.76654826092758,59.63745900000106,329.3448749999999,10740.053472376303
1776286885,200,GET,GET /v1/timeline/user/:id,98.500000,0.000000,90,110,120,130,150,160,190,230,330,330,330,1761,0,87,102.48157939466222,60.711332999998646,343.2951660000008,10913.842703009654
1776286885,200,POST,POST /v1/tweets,51.800000,0.000000,76,79,82,85,93,110,140,150,150,150,150,894,0,75,80.07809157046982,56.34020799999817,266.07029099999966,214.5480984340045
1776286885,200,POST,POST /v1/tweets/:id/like,94.000000,0.000000,77,81,84,88,99,110,140,150,160,160,160,1449,0,77,80.3124685093169,59.62366600000024,159.8797920000017,0.0
1776286885,200,,Aggregated,497.500000,0.000000,83,94,110,120,140,160,170,190,240,330,330,8611,0,82,95.52752003948466,56.34020799999817,343.2951660000008,7875.566600859366
1776286886,200,GET,GET /v1/timeline/home,251.200000,0.000000,87,100,120,130,150,160,180,190,240,260,260,4766,0,86,100.49724495656751,59.63745900000106,329.3448749999999,10739.986151909357
